Nome,Volume,Num Pagina,Numeração,Categ_atrativo,N° da Subcategoria,N° de Entrada,Categoria,Subcategoria,Localização,Bairro/Colônia,CEP,GPS,Descrição,Descrição2,Área,Celular/Whatsapp,Telefone Fixo/whatsapp,Tombado,Proprietário/Responsável,email,Midias Sociais,website,Reserva,Horário,"Observações, Serviços e Equipamentos",Acessibilidade,Como chegar,Destaque,Data de inauguração,Estacionamento,Capacidade máxima,Restrições,Especialidade,Receitas autorais,Cadastur,N° de Leitos solteiros,N° de Leitos casais,N° de unidades habitacionais,Autoria
Cavalgada do Batom,Volume I,123,78,2,4,2,Atrativos Histórico-Culturais,Feiras e Festas,"A saída geralmente acontece no Park Ball, Rua José Zancheta Filho, n.º 1.255",Campina do Taquaral,83042-430,"-25.598146914472288, -49.22358768042592","A cavalgada é um evento exclusivo para mulheres, destacando a força e a paixão das amazonas pela atividade equestre. Além da cavalgada, a programação oferece diversas opções de lazer para toda a família. O local conta com uma ampla praça de alimentação, oferecendo diversas opções gastronômicas, além de shows e apresentações musicais e artísticas.","Outro destaque do evento é o concurso para a escolha das Rainhas, Princesas, Musas e Miss Simpatia, que envolve disputas emocionantes em provas de campo e desfiles de palco. A organização também prepara um espaço kids, com brincadeiras e sorteios de brindes ao longo do evento.",Rural,,,Não,-,-,-,-,-,Saída: 9:30h,,-,12 Km até o aeroporto; 9 Km até o centro; 4 Km até a BR 376/107,"Geralmente a entrada para o evento é a doação de 1 kg de alimento não perecível ou 1 litro de leite ou óleo, que são destinados para ações beneficentes.",-,Sim,,"A organização do evento ressalta que é proibida a entrada com bebidas e alimentos, visando a segurança e o conforto de todos os presentes.",,,Não,,,,
Feira de Artesanato,Volume I,124,79,2,4,3,Atrativos Histórico-Culturais,Feiras e Festas,Na rua XV e na Praça 8 de Janeiro,Centro,,"Rua XV: -25.537761291598525, -49.201216758475894; Praça 8 de Janeiro: -25.536008590471774, -49.20521989896738","Proporciona aos munícipes e turistas um espaço organizado para a compra de produtos artesanais. A feira de artesanato visa incentivar a atividade artesanal e valorizar os artistas e produtores do município. A feira também reúne produtos feitos por grupos de artesãos locais, integrados ao Programa de Economia Solidária. São oferecidos diversos itens de vestuário, decoração, artesanato e gastronomia típica. 

Além de ser uma excelente oportunidade para adquirir presentes únicos e especiais, a Feira de Inverno de São José dos Pinhais proporciona um ambiente acolhedor e familiar. Ainda, é um incentivo para os artistas locais, pois contribui para geração de renda dos participantes e valoriza a cultura do município.",,Urbana,,,Não,-,-,-,-,-,9:00h às 18:00h,,,Ocorre no centro;  4 Km até o aeroporto;  2 Km até a Av. das Torres/BR 376,,,Nas ruas laterais.,,,,,Não,,,,
Festa da Colheita,Volume I,125,80,2,4,4,Atrativos Histórico-Culturais,Feiras e Festas,Salão Paroquial da Colônia Murici,Colônia Murici,,"-25.59360598462448, -49.12700204005927","Este é um evento de agradecimento e comemoração da safra dos bons frutos da terra iniciados pelos imigrantes poloneses. É realizada todos os anos pelos produtores para agradecer a Deus a safra do ano anterior. Há um desfile com carros alegóricos, mostrando todas as fases do plantio à colheita e missa na igreja Sagrado Coração de Jesus, cujo altar é previamente ornamentado com sementes, grãos, frutas e vegetais cultivados na região.","Atualmente, o evento é também uma homenagem aos imigrantes poloneses e italianos e seus descendentes, que contribuem para o desenvolvimento da agricultura regional e para o abastecimento em Curitiba e Região Metropolitana com diversos produtos agrícolas.  A celebração tem início  com a Missa de Ação de Graças pela Colheita. Em seguida, é realizado o desfile temático e histórico, relembrando as tradições e a história dos povos que contribuíram significativamente para a formação da região. Em seguida ocorre o  almoço, com pratos típicos da culinária polonesa e italiana, incluindo pierogue, risoto, churrasco e costela da chão, preparados com todo o cuidado e carinho pela comunidade local. E durante a tarde ocorrem apresentações de grupos folclóricos, com  danças e músicas tradicionais dessas culturas.",Rural,(41)998244101,,Não,,,@paroquia.scjmurici,,,,,,10 Km até o aeroporto; 9 Km até o centro; 3 Km até a BR 116,Acontece em abril,,,,,Tradição polonesa,,Não,,,,
Festa de São José,Volume I,126,81,2,4,5,Atrativos Histórico-Culturais,Feiras e Festas,Catedral de São José - Praça Getúlio Vargas,Centro,,"-25.53504736031317, -49.20702733112371","A festividade acontece nos dias que antecedem o dia 19 de março e culmina no dia dia do padroeiro da cidade, São José. Durante o evento, diversas atividades são realizadas, como o tradicional bolo de 20 metros, camarim de pintura, apresentação de bonecos gigantes, corrida de meia maratona e shows com artistas locais e nacionais. No dia 19, uma missa especial é celebrada na Catedral em honra a São José, reunindo centenas de fiéis em um momento de comunhão e bênçãos para São José dos Pinhais.",,Urbana,,,Não,,,,,, -,,,5 Km até o aeroporto; até o centro; 2 Km até a Av. das Torres/BR 376,Dia de São José: Dia 19 de março.,-,-,-,-,,-,Não,,,,
Festa do Trigo,Volume I,127,82,2,4,6,Atrativos Histórico-Culturais,Feiras e Festas,"Igreja Santíssima Trindade (Rua Vereador Domingos Benvenuto Moletta, s/nº – Colônia Marcelino.",,83800-000,"-25.749220861254777, -49.240356302281434","O evento, realizado na última semana de janeiro na Colônia Marcelino, celebra o encerramento da safra do trigo e dá graças à Deus pela boa colheita. Criado pelos imigrantes ucranianos pioneiros no Brasil, preserva o costume de seu país de origem ao comemorar a colheita durante o verão.
A festa oferece uma variedade de pratos típicos, permitindo que os participantes saboreiem delícias tradicionais como kutiá (doce de grãos de trigo cozido ao leite), perohê (pastel cozido), holuptsi (charuto de repolho), churrasco, dentre outros.","Além das opções gastronômicas, a festa inclui a venda de artesanato típico ucraniano, como pêssanka (ovos de galinha decorados à mão), louças e bordados. Apoiada pela Prefeitura, a festividade integra o calendário oficial do município e é um dos eventos mais aguardados por moradores e visitantes. A programação começa às 10h com uma missa especial, seguido  do almoço, sendo um exemplo de organização colaborativa  de evento em um ambiente familiar, respeitoso,  que celebra a cultura e a tradição ucraniana. a tarde  há apresentações folclóricas  dos grupos Soloveico (da própria colônia), Wawel (da Colônia Murici) e outros show musicais.",Rural,,,Não,,,,,, -,"Comercialização dos produtos confeccionados à base do trigo, como Varenki (pastel cozido), Kutiá (doce de natal preparado com essências), Perohê (pastel cozido), holopthl (charuto), pastel assado, pão caseiro, panetone, além de risoto e saladas.",,32 Km até o aeroporto; 30 Km até o centro; 11 Km até a BR 116,Acontece em Janeiro. ,,Sim,,É fundamental levar pratos e talheres.,Tradição ucraniana,,Não,,,,
Festa do Vinho,Volume I,128,83,2,4,7,Atrativos Histórico-Culturais,Feiras e Festas,"Parque do Vinho - Rua Júlio César Setenareski, n.º 150 Colônia Mergulhão",,83085-290,"-25.568546771132926, -49.133188346380486","O evento  geralmente é realizado entre agosto e setembro e conta com  atrações culturais e gastronômica que movimentam o  Caminho do Vinho.  O público pode  desfrutar de shows e apresentações de artistas locais, grupos de dança folclórica, ampla variedade de pratos típicos italianos, com destaque para a degustação de vinhos artesanais, e ainda a tradicional distribuição  da polenta de 17 metros. A festa integra o calendário oficial do município","A entrada para o evento geralmente é dada em contrapartida a uma doação de alimento não perecível ou leite, que são destinados no será gratuita, mas é solicitada a doação de 1 kg de alimento que são destinados às famílias em situação de vulnerabilidade do município.",Rural,,,Não,,,,,,,,,9 Km até o aeroporto; 9 Km até o centro; 3 Km até a BR 116,Ocorre entre agosto e setembro,,,,,,,Não,,,,
Festival do Pinhão,Volume I,129,84,2,4,8,Atrativos Histórico-Culturais,Feiras e Festas,Diversos lugares na cidade,,,,"Foi criado com o  objetivo  de homenagear o município de São José dos Pinhais, o pinhão e o Pinheiro do Paraná e também de apresentar os empreendimentos das  Colônias, ajudando a promover o turismo rural através da gastronomia, artesanato e experiências, tendo como ator principal o pinhão.","Além de uma  gastronomia criativa e inovadora, integram a programação do festival a exposição e venda de artesanatos produzidos pelas colônias, música e dança, com apresentações culturais de grupos de dança folclóricas e bandas regionais além de atividades recreativas, com jogos e atividades para todas as idades.",Rural,,,Não,,,,,,Julho,"Acontecem apresentações de grupos folclóricos, shows de artistas regionais e nacionais, praça de alimentação, parque de diversão e exposições culturais.",,Ocorre em diversos lugares na cidade,"Acontece geralmente em julho, no inverno época de colheita do pinhão, chegando a reunir mais  de 20 mil pessoas por noite, tanto do município quanto de outras cidades do estado e fora do estado.",,,,,Tradição de São José dos Pinhais,,Não,,,,
Outras Festas I,Volume I,130,85,2,4,9,Atrativos Histórico-Culturais,Feiras e Festas,Arquivo  Festas,,,,,,,,,,,,,,,,,,,,,,,,,,Não,,,,
Outras Festas II,Volume I,131,96,2,4,19,Atrativos Histórico-Culturais,Feiras e Festas,Arquivo  Festas,,,,,,,,,,,,,,,,,,,,,,,,,,Não,,,,
Capa ,Volume I,132,,,,,,Folclore,,,,,,,,,,,,,,,,,,,,,,,,,,,Não,,,,
Banda Guarda Mirim,Volume I,133,101,2,5,1,Atrativos Histórico-Culturais,Folclore,"R. Veríssimo Marques, 299",Centro,83030-700,"-25.53261339216293, -49.20730659565329","A banda tem como objetivo despertar o interesse pela música nos jovens, complementando sua formação intelectual e cultural e fortalecendo os princípios de cidadania. Criada em 1991, com a aquisição dos primeiros instrumentos de sopro e percussão pela Guarda Mirim de São José dos Pinhais, a banda é liderada pelo Maestro João Carlos Maximiano. Desde o início, destacou-se pela qualidade e disciplina, participando de inúmeras apresentações em eventos públicos oficiais do município. Ao longo dos anos, a banda conquistou diversos títulos em importantes concursos e campeonatos, incluindo o pentacampeonato paranaense infanto-juvenil, bicampeonato paranaense juvenil e sênior, e bicampeonato nacional, além de várias premiações em competições interestaduais e nacionais.","A banda foi municipalizada pelo Decreto nº 657, abrindo vagas para jovens de todas as comunidades da cidade. São oferecidos cursos e oficinas de técnica instrumental para metais e percussão, além de aulas para linha de frente, corpo coreográfico e baliza, elevando  o nível técnico do conjunto.",Urbana,(41)9 9767-9374,,Não,,,,,,"Os ensaios ocorrem nas 2as, 4as 6as e sábados, às 14h.",,,,,,,,,,,Não,,,,
Banda Marcial de São José dos Pinhais,Volume I,134,102,2,5,2,Atrativos Histórico-Culturais,Folclore,"R. Veríssimo Marques, 299",Centro,83030-700,"-25.53261339216293, -49.20730659565329","É o grupo  musical mais antigo da Usina da Música, com  mais de 30 anos de existência.  Possui uma formação pouco comum no Brasil  chamada “marching-band”, sendo  formada por um corpo coreográfico, pelotão  e sua baliza, além do pelotão de bandeiras.","Reúne  estudantes de música em instrumentos de metais e percussão  e tem como missão  promover música, dança e civismo.   Participa de campeonatos estaduais e nacionais.",Urbana,(41)9 9767-9374,,Não,,contato.bmsjp@gmail.com,@bandamarcialsjp,,,,Desfiles cívicos,,"4,5 Km do aeroporto; encontra-se no centro; 2 Km da Av. das Torres","Apresentação no formato ""marching- band"":  corpo coreográfico, pelotão,  baliza, e pelotão de bandeiras.  Suas apresentações possuem rotinas coreografadas e sincronizadas.",,,,,Banda marcial,,Não,,,,
Coral Belvedere,Volume I,135,103,2,5,3,Atrativos Histórico-Culturais,Folclore,"Ensaios acontecem na  Capela Nossa Senhora Imaculada Conceição, R. Júlio César Setenareski, 2671 ","Colônia Murici, Caminho do Vinho",,"-25.56995895085741, -49.121628646160126","Criado por pessoas que tinham interesse em manter a cultura dos antepassados, aprendem a língua italiana e também gostavam  de cantar.  O nome foi dado em homenagem ao Monte Belvedere na Itália e significa ""Boa Vista""em italiano.",O coral mantém viva a tradição e a cultura italiana e participa de várias apresentações em eventos nacioanis e festivais.,Rural,(41) 9 96096105,,,Gemma  Berger,,,www.caminhodovinho.tur.br,,,,,12 Km até o aeroporto; 11 Km atéo centro; 4 Km até a BR 116,,,,,,,,Não,,,,
Grupo Folclórico Cuore D´Itália,Volume I,136,104,2,5,4,Atrativos Histórico-Culturais,Folclore,"R. Júlio César Setenareski, 2900  - O grupo ensaia na Cantina D´Ella Mamma.",Colônia Mergulhão,83085-290,"-25.57019378168421, -49.12362529615994",Criado com o propósito de manter viva a tradição italiana entre as novas gerações de descendentes de imigrantes; realiza apresentações de danças folclóricas acompanhadas por músicas típicas dentro e fora do estado do Paraná.,"Sob a coordenação de Marina Pissaia, ex-bailarina e responsável técnica da vinícula Cantina della Mamma, o Cuore d’Italia colabora com outras organizações culturais e educacionais para promover o intercâmbio cultural.",Rural,(41)9 9949-8140,(41) 3635-1384,,-,-,,www.caminhodovinho.tur.br,-,Dom: 19:00h - ensaios do grupo de adultos; Seg: 19:30h - ensaio do grupo de crianças,"Possui um grupo de dança adulto e outro de crianças. Promove  também eventos de gastronomia típica, festas tradicionais e oficinas do idioma italiano mantendo viva as raízes culturais e os laços comunitários.",-,10 Km até o aeroporto; 10 Km até o centro;  4 Km até a BR 116 (Contorno Leste),"O Cuore D’Italia  faz parte do  patrimônio imaterial da cidade. Seus  membros utilizam trajes que são réplicas autênticas dos trajes regionais italianos, refletindo a rica diversidade cultural da Itália.",-,-,-,-,-,-,Não,,,,
Grupo Folclórico Polonês Wawel,Volume I,137,105,2,5,5,Atrativos Histórico-Culturais,Folclore,"Salão da  Paróquia Sagrado Coração de Jesus - R. Dr. Murici, 8730",Colônia Murici,83015-290,"-25.592243131579902, -49.12655978754914","Criado com a  missão de garantir, resgatar e manter a cultura trazida pelos imigrantes poloneses no Brasil, mostrando sua diversidade cultural nas danças, no artesanato e na gastronomia.","Foi fundado no ano de 1970, com o incentivo das irmãs da Sagrada Família, ensaiando cantos folclóricos e peças teatrais.",Rural,(41)9 9109-7606,,Não,Luciane Kubesky Camargo - coordenadora,polones.wawel@gmail.com, @wawelfolclorepolones/;  @www.facebook.com/grupowawel,-,Entrar em contato  previamente.,Horário dos ensaios: Infantil – Seg. às 19:00h; Juvenil – Sáb. às 10:30h; Adulto – Sáb. às 09:00h; Master – Seg. às 19:00h,"O grupo se apresenta em festas  tais como a Noite Polonesa, Festa da Colheita, apresentações culturais no Teatro Guaíra em Curitiba, Festival Folclórico de Etnias do Paraná, Dia da Europa, feriado de Majówka - celebração dos três primeiros dias de maio, dentre outras.",-,11 Km até o aeroporto; 11 Km até o centro;  7 Km até a BR 116,,,,,,,,Não,,,,
